commence_time,match,strategy_snapshot,selected_score,actual_score,outcome_correct,exact_score_correct,selected_base_points,base_points,exact_bonus_points,realized_points,bookmaker_outcome_probability,bookmaker_exact_score_probability,bookmaker_conditional_bettor_share,bookmaker_nominal_bonus_label,bookmaker_nominal_bonus_points,bookmaker_expected_bonus_points,bookmaker_assessed_expected_points,original_compute_expected_points
2026-06-11T19:00:00Z,Mexico vs South Africa,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,1-0,2-0,True,False,49.0,49.0,0.0,49.0,0.6663531372499512,0.13821451983074048,0.10526315789473684,Tres rare,50.0,50.00000032702528,39.56202976198428,40.361599372493515
2026-06-12T02:00:00Z,South Korea vs Czech Republic,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,2-0,2-1,True,False,96.0,96.0,0.0,96.0,0.3587195240364589,0.06334893361354593,0.14285714285714285,Tres rare,50.0,49.999999889834235,37.60452098119847,38.14102721512523
2026-06-12T19:02:00Z,Canada vs Bosnia & Herzegovina,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,1-0,1-1,False,False,65.0,0.0,0.0,0.0,0.5217616322071589,0.11403279130087114,0.18867924528301888,Tres rare,50.0,47.423972939677505,39.322394102353734,38.04506121576355
2026-06-13T01:02:00Z,USA vs Paraguay,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,1-0,4-1,True,False,74.0,74.0,0.0,74.0,0.47878235736233665,0.11800267401513066,0.23529411764705882,Rare,30.0,30.00416484512312,38.970466128128216,39.519156804975964
2026-06-13T19:04:00Z,Qatar vs Switzerland,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,0-2,1-1,False,False,33.0,0.0,0.0,0.0,0.7708367126340224,0.13413131174508622,0.3595505617977528,Exact,20.0,20.000000012999124,28.120237753568055,31.18747769088261
2026-06-13T22:04:00Z,Brazil vs Morocco,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,1-0,1-1,False,False,55.0,0.0,0.0,0.0,0.5945300644479669,0.11654036185225629,0.14545454545454545,Tres rare,50.0,49.99999950901725,38.526171580031686,39.71284122168005
2026-06-14T01:00:00Z,Haiti vs Scotland,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,0-1,0-1,True,True,44.0,44.0,50.0,94.0,0.6594172972362322,0.11205562538230462,0.09090909090909091,Tres rare,50.0,50.000429685550515,34.61719049619253,34.578704747658506
2026-06-14T04:00:00Z,Australia vs Turkey,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,0-1,2-0,False,False,66.0,0.0,0.0,0.0,0.5327175499922367,0.10923769482158098,0.11428571428571428,Tres rare,50.0,50.00000000128809,40.621243040707384,40.798080925058386
2026-06-14T17:01:00Z,Germany vs Curaçao,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,4-1,7-1,True,False,15.0,15.0,0.0,15.0,0.9217320792114371,0.04963716929839148,0.06557377049180328,Tres rare,50.0,51.193809939661655,16.36709699917622,19.666836942300865
2026-06-14T20:00:00Z,Netherlands vs Japan,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T215016Z.csv,2-0,2-2,False,False,74.0,0.0,0.0,0.0,0.4791086682594649,0.07831953357160512,0.08108108108108109,Tres rare,50.0,50.01882891781189,39.37149280184134,40.26609489520858
2026-06-14T23:03:00Z,Ivory Coast vs Ecuador,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T221419Z.csv,0-1,1-0,False,False,85.0,0.0,0.0,0.0,0.4080305768707585,0.12218754142139791,0.26666666666666666,Rare,30.0,29.99570939692971,38.34770101841604,38.7318652693703
2026-06-15T02:00:00Z,Sweden vs Tunisia,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T221419Z.csv,1-0,5-1,True,False,72.0,72.0,0.0,72.0,0.4866455242012071,0.10946939939800628,0.27631578947368424,Rare,30.0,29.91067903743951,38.31278181230195,39.217656598480964
2026-06-15T16:01:00Z,Spain vs Cape Verde,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T221419Z.csv,2-0,0-0,False,False,16.0,0.0,0.0,0.0,0.8761844833042503,0.1234328826412814,0.15517241379310345,Tres rare,50.0,49.999926315740076,20.190586769871466,21.19682327950677
2026-06-15T19:00:00Z,Belgium vs Egypt,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T221419Z.csv,1-0,1-1,False,False,57.0,0.0,0.0,0.0,0.5750887185749816,0.11343228731232631,0.09210526315789473,Tres rare,50.0,50.00025477644269,38.45170022426491,38.761709802995085
2026-06-15T22:03:00Z,Saudi Arabia vs Uruguay,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T221419Z.csv,0-1,1-1,False,False,50.0,0.0,0.0,0.0,0.6443462703035279,0.12567331196541498,0.17307692307692307,Tres rare,50.0,49.92904055456469,38.49206140492406,37.835420152561056
2026-06-16T01:03:00Z,Iran vs New Zealand,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260614T221419Z.csv,1-0,2-2,False,False,63.0,0.0,0.0,0.0,0.5001350923538528,0.12569533679290856,0.3157894736842105,Exact,20.0,20.571740648711003,34.09428268754883,35.73445840338804
2026-06-16T19:02:00Z,France vs Senegal,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260616T094426Z.csv,1-0,3-1,True,False,46.0,46.0,0.0,46.0,0.6621982806461284,0.11640675476090612,0.05063291139240506,Tres rare,50.0,59.49542225166093,37.386789937167556,37.33260648788813
2026-06-16T22:00:00Z,Iraq vs Norway,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260616T094426Z.csv,0-2,1-4,True,False,30.0,30.0,0.0,30.0,0.7820830040097404,0.18177909514635182,0.24016461748548537,Rare,30.0,30.0,28.915862974682767,28.912589378308358
